session,tercile,frames,n_T1,per_frame,per_frame_per_100bubbles,mean_bubbles
exp1_run0,T1,0-32,15,0.45454545454545453,0.45112781954887216,100.75757575757575
exp1_run0,T2,33-65,2,0.06060606060606061,0.07877116975187082,76.93939393939394
exp1_run0,T3,66-98,0,0.0,0.0,66.33333333333333
exp1_run1,T1,99-131,2,0.06060606060606061,0.11655011655011654,52.0
exp1_run1,T2,132-164,1,0.030303030303030304,0.07220216606498195,41.96969696969697
exp1_run1,T3,165-197,2,0.06060606060606061,0.20618556701030927,29.393939393939394
