rel_area,bubble
0.34713024282560706,exp1_run0:59
0.28311258278145696,exp1_run0:53
6.605408388520972,exp1_run0:41
2.8206401766004414,exp1_run0:55
1.157279489904357,exp1_run0:125
0.2226354941551541,exp1_run0:126
2.6705632306057385,exp1_run0:81
1.7534537725823591,exp1_run0:99
0.05891805034815212,exp1_run0:92
0.07284413497589716,exp1_run0:87
5.130155329405463,exp1_run0:69
0.7739689341189073,exp1_run0:90
1.51571072319202,exp1_run0:23
0.44039900249376557,exp1_run0:15
2.548628428927681,exp1_run0:11
2.2798004987531173,exp1_run0:19
1.1981522003403842,exp1_run0:10
0.7595429127157792,exp1_run0:12
1.8230002431315342,exp1_run0:5
0.1575492341356674,exp1_run0:17
0.1575492341356674,exp1_run0:17
0.275224896669098,exp1_run0:22
0.7595429127157792,exp1_run0:12
2.0301483102358375,exp1_run0:20
0.10989545344031121,exp1_run0:18
2.0301483102358375,exp1_run0:20
1.1981522003403842,exp1_run0:10
1.8025771942620958,exp1_run0:21
0.2943617280937271,exp1_run0:58
0.36026360751769587,exp1_run0:60
2.4720527215035393,exp1_run0:46
4.846473029045643,exp1_run0:69
0.1372067039106145,exp1_run0:35
0.9452513966480447,exp1_run0:30
1.0270391061452513,exp1_run0:24
1.448491620111732,exp1_run0:39
0.5430167597765363,exp1_run0:42
0.37273743016759775,exp1_run0:37
0.9452513966480447,exp1_run0:30
6.113966480446927,exp1_run0:41
0.34430604982206403,exp1_run0:72
4.030693950177936,exp1_run0:61
2.4559608540925266,exp1_run0:81
0.5498220640569395,exp1_run0:121
0.297153024911032,exp1_run0:88
0.10275800711743772,exp1_run0:97
0.2637900355871886,exp1_run0:85
2.570729537366548,exp1_run0:98
0.6009786476868327,exp1_run0:90
1.1112099644128113,exp1_run0:101
1.8927935943060499,exp1_run0:83
3.0444839857651247,exp1_run0:94
0.5498220640569395,exp1_run0:121
0.23709964412811388,exp1_run0:123
1.7766903914590748,exp1_run0:50
0.34430604982206403,exp1_run0:72
1.738655462184874,exp1_run0:50
0.21008403361344538,exp1_run0:123
0.3134453781512605,exp1_run0:72
0.7394957983193278,exp1_run0:80
0.21215733015494637,exp1_run0:60
1.4517282479141835,exp1_run0:63
2.148192292411601,exp1_run0:44
4.299562971791816,exp1_run0:69
0.34942449750901905,exp1_run0:29
0.13571551279848823,exp1_run0:135
3.192235011166466,exp1_run0:14
1.0496478268338774,exp1_run0:40
0.4332372718539865,exp1_run1:36
0.12904258725584375,exp1_run1:37
1.8097982708933718,exp1_run1:27
1.653858469420429,exp1_run1:41
1.394153846153846,exp1_run1:32
0.19538461538461538,exp1_run1:38
6.632,exp1_run1:21
2.750153846153846,exp1_run1:42
0.16342631727247112,exp1_run1:65
0.5080304311073541,exp1_run1:58
3.7557058326289097,exp1_run1:56
2.5550859397013244,exp1_run1:57
0.08410828683612316,exp1_run1:64
1.0396776193428394,exp1_run1:39
2.3719776813391196,exp1_run1:42
0.5992973754908039,exp1_run1:63
0.0640945861854387,exp1_run1:24
1.0,exp1_run1:27
1.807093963907903,exp1_run1:20
5.564613150798589,exp1_run1:21
