scope,detector,n,slope_free,intercept_free,intercept_ci_lo,intercept_ci_hi,n0,n0_ci_lo_bubble,n0_ci_hi_bubble,n0_ci_lo_pairblock,n0_ci_hi_pairblock,K_branch_lo,K_branch_lo_ci_lo,K_branch_lo_ci_hi,K_branch_hi,K_branch_hi_ci_lo,K_branch_hi_ci_hi,n_branch_lo,n_branch_hi,branch_ratio,branch_ratio_ci_lo_bubble,branch_ratio_ci_hi_bubble,branch_ratio_ci_lo_pairblock,branch_ratio_ci_hi_pairblock,branch_diff,branch_diff_ci_lo_bubble,branch_diff_ci_hi_bubble,branch_diff_ci_lo_pairblock,branch_diff_ci_hi_pairblock,K_robust
full,GT,425,0.3537770928665345,0.02256154679087455,-0.10514188150169597,0.11507726895960364,5.936226660103778,5.677240155607116,6.342763450081763,5.578268725749727,6.308651689057027,0.3333333333333333,0.299950016661113,0.399720195862896,0.43330447717889686,0.366410179540988,0.5332466955459292,246,96,1.2999134315366907,1.010377528120658,1.6665854166666665,0.9874300452505467,1.7333333333333334,0.09997114384556355,0.004381266685920667,0.2039512545368702,-0.005422152571704419,0.2331256117947682,0.366410179540988
full,CP,416,0.5291346350347419,0.42354403712316363,0.3014967839965127,0.5498884493596139,5.199553366799823,5.044901821420382,5.376673642363147,4.7674568132079145,5.642789387202635,0.286024238811743,0.2333323614350772,0.32353798733755407,0.6997667444185272,0.5414861712762412,0.8334166750008334,250,89,2.4465295225524697,1.9159643804892132,3.121820577056342,1.6749404918754056,4.635016262878599,0.41374250560678416,0.2744443803204125,0.5557323340022207,0.21659446851049646,0.8079419702543469,0.3334000133360005
matched,GT,409,0.3941943971758427,-0.0026828244882493735,-0.11375090372194849,0.09760752956901514,6.006805841248557,5.763890884120093,6.3110913074122,5.738711375471061,6.321048141650421,0.3499416861046318,0.3166434686470783,0.4222222222222222,0.43330447717889686,0.366410179540988,0.5332466955459292,230,96,1.2382190930215151,0.9476640295389046,1.5996151256247915,0.9463588821158523,1.6358520359387356,0.08336279107426509,-0.02096760547636944,0.19993331999733277,-0.022350465785061557,0.21292072915983934,0.3708075281611915
matched,CP,411,0.5299500723363121,0.42110549722042295,0.2995453733673547,0.5465307016000803,5.205386470910443,5.046975767728021,5.370181312331213,4.7674568132079145,5.64835251992737,0.28868680812320263,0.233170114253356,0.32489170276574475,0.6997667444185272,0.5414861712762412,0.8334166750008334,245,89,2.4239650885602235,1.9524039642588418,3.1260416666666666,1.6749404918754056,4.601323851424101,0.4110799362953245,0.27500359878042047,0.5667555259357993,0.21651003531818208,0.8079416923932163,0.33340001333600056
