frame,n_objects,detector,foam
289,16,cellpose,F
290,16,cellpose,F
291,16,cellpose,F
292,16,cellpose,F
293,16,cellpose,F
294,16,cellpose,F
295,16,cellpose,F
296,16,cellpose,F
297,15,cellpose,F
298,15,cellpose,F
299,14,cellpose,F
300,15,cellpose,F
301,15,cellpose,F
302,15,cellpose,F
303,14,cellpose,F
304,14,cellpose,F
305,15,cellpose,F
306,15,cellpose,F
307,16,cellpose,F
308,15,cellpose,F
309,15,cellpose,F
310,16,cellpose,F
311,14,cellpose,F
312,13,cellpose,F
313,13,cellpose,F
314,14,cellpose,F
315,12,cellpose,F
316,12,cellpose,F
317,13,cellpose,F
318,14,cellpose,F
319,14,cellpose,F
320,13,cellpose,F
321,14,cellpose,F
322,13,cellpose,F
323,12,cellpose,F
324,12,cellpose,F
325,14,cellpose,F
326,13,cellpose,F
327,13,cellpose,F
328,12,cellpose,F
329,13,cellpose,F
330,13,cellpose,F
331,13,cellpose,F
332,14,cellpose,F
333,12,cellpose,F
334,12,cellpose,F
335,13,cellpose,F
336,15,cellpose,F
337,13,cellpose,F
338,14,cellpose,F
339,15,cellpose,F
340,13,cellpose,F
341,12,cellpose,F
342,12,cellpose,F
343,12,cellpose,F
344,11,cellpose,F
345,11,cellpose,F
346,11,cellpose,F
347,10,cellpose,F
348,9,cellpose,F
349,8,cellpose,F
350,8,cellpose,F
351,8,cellpose,F
352,8,cellpose,F
353,8,cellpose,F
354,8,cellpose,F
355,8,cellpose,F
356,8,cellpose,F
357,8,cellpose,F
358,7,cellpose,F
359,7,cellpose,F
360,7,cellpose,F
361,7,cellpose,F
362,7,cellpose,F
363,7,cellpose,F
364,7,cellpose,F
365,7,cellpose,F
366,7,cellpose,F
367,7,cellpose,F
368,7,cellpose,F
369,7,cellpose,F
370,7,cellpose,F
371,7,cellpose,F
372,7,cellpose,F
373,7,cellpose,F
374,7,cellpose,F
375,7,cellpose,F
376,7,cellpose,F
377,7,cellpose,F
378,7,cellpose,F
379,7,cellpose,F
