foam,window,K30,K150,K600,horizon_rel_range,horizon_ci_lo,horizon_ci_hi,drop20_rel_width,n_bubbles
A,all,0.3667033370003672,0.36433757370829317,0.3582989963882258,0.022918636849309573,0.005155199912646172,0.08505952296812144,0.07652512516267396,156
A,post,0.43320337232163664,0.4333102234547496,0.4712138654594247,0.08774283758245244,0.02279313001663108,0.17254950645523157,0.09805256068237084,114
C,all,0.177632717024435,0.17998800079994667,0.19329113143844984,0.08815050896204484,0.045038759419796646,0.1801008218762748,0.09365768884800783,466
C,post,0.16664444740701292,0.16998640109546675,0.17331715706534057,0.04004159611769238,0.0036353843631918843,0.1100033541508969,0.0004998500727378792,313
F,all,0.5995004163197336,0.4899969125242688,0.37635533454858494,0.37221839334326323,0.07031544090042666,0.8057203859308444,0.37173763851755665,56
F,post,1.5672674529591628,1.5865503196432253,1.6802877397135614,0.07211295464663967,0.019101342212290557,0.4305924593874998,0.21647004842887574,34
