r_med,unlab_frac_core0.5,film_hw_norm_core0.5,dark_frac_core0.5,unlab_frac_core1,film_hw_norm_core1,dark_frac_core1,unlab_frac_core2,film_hw_norm_core2,dark_frac_core2,unlab_frac_published,film_hw_norm_published,dark_frac_published,mask_outside_hull_frac,n_vertex,n_junction_valid,junction_med_norm_local,junction_p95_norm_local,junction_med_px,invalid_med_norm_local,foam,frame,elapsed_s
23.25186748807864,0.11676433937879493,0.08601459650608326,0.2514634380133602,0.12020444828608473,0.08601459650608326,0.2549602997431895,0.12744478964074327,0.08601459650608326,0.2632795332272486,0.2134494506692305,0.15506501907051443,0.26130872361297824,0.09114055656947057,198,197,0.18682638741918825,0.2925673238306882,5.0,0.5389987909075707,A,0,0.0
24.374687742862374,0.0929154482818681,0.08205233318673626,0.243630066554793,0.09559891898175055,0.08205233318673626,0.2471049343252354,0.09892500971376765,0.08205233318673626,0.2536502180201183,0.1863872829909152,0.1641046663734725,0.25627009737559847,0.08445651587781364,187,187,0.15849030948153117,0.2468485896369205,4.47213595499958,,A,5,150.103
25.262844689355557,0.08440861489288944,0.07916764816444823,0.23844671896637537,0.08502169165387793,0.07916764816444823,0.2419836796127966,0.08856475459878428,0.07916764816444823,0.2476795936966351,0.18175975044349413,0.16320828775687807,0.2512533529870508,0.08653920316744795,171,170,0.15112039070551803,0.21885353377443378,4.47213595499958,0.2691303429526541,A,10,300.117
26.254524534468317,0.07793987818995633,0.07617734601798996,0.23601468865613912,0.08009417985046884,0.07617734601798996,0.23991453216121728,0.08396582284233968,0.07617734601798996,0.24911602963232288,0.17910606587882047,0.1703377240417485,0.24992594169094534,0.08929275033865498,159,158,0.14545819116691394,0.19285356227652192,4.47213595499958,0.13600467434352903,A,15,450.121
26.534910368014152,0.07342316972263363,0.0753724045893462,0.23069247724538824,0.07548355162960707,0.0753724045893462,0.23433978068839476,0.07914987344349379,0.0753724045893462,0.24304401945314633,0.17475956854659294,0.16853782028939523,0.24557888216459559,0.0892686288936518,156,156,0.1399516345589813,0.19525129042334619,4.242640687119285,,A,21,630.155
26.7380628387472,0.0719528040172771,0.07479973444829069,0.22644941531762475,0.07346205070170982,0.07479973444829069,0.23001301030816723,0.07746151789107253,0.07479973444829069,0.23854919751725304,0.18006163265424896,0.19070265278169632,0.23935469039630553,0.09686336930996453,144,143,0.139040654862105,0.21586355426217388,4.47213595499958,0.14902631331241825,A,26,780.188
27.553023038286394,0.06805485920726526,0.0725873163616527,0.22372514925558887,0.07051174217677228,0.0725873163616527,0.22781739868631584,0.07374706371204443,0.0725873163616527,0.23775645983350227,0.18232031288793343,0.21776194908495813,0.23565029691055295,0.10242172690070948,137,137,0.13544069423884825,0.25286439002656663,4.47213595499958,,A,31,930.218
27.748722757607958,0.06839927081048623,0.07207538946821088,0.21967373443550736,0.0713835443188531,0.07207538946821088,0.22429617530101614,0.07493883291741345,0.07207538946821088,0.23427603080574508,0.18639205137156084,0.219208739206942,0.232093144689327,0.1080791694657205,133,132,0.1352865025938862,0.22714474386091854,4.47213595499958,0.21400842678504503,A,36,1080.235
30.243403544394976,0.06886822182646997,0.06613012312136611,0.21762709876950362,0.07247794282454102,0.06613012312136611,0.22407237606210648,0.0739726449703534,0.06613012312136611,0.23105340499213878,0.19103859806361073,0.21171969709141888,0.22949514723398234,0.11122740191280352,126,126,0.13456132765429557,0.18375498159323023,4.47213595499958,,A,41,1230.245
30.19073300016554,0.06805112530436135,0.06624549327732565,0.21588377652291685,0.07132801501642422,0.06624549327732565,0.22238962022606965,0.07333994568180756,0.06624549327732565,0.2291542252387456,0.19023747645502015,0.21208906181236936,0.22818363892134189,0.10984180157840777,125,125,0.13316392610997418,0.17149927667909096,4.47213595499958,,A,46,1380.269
