scope,K_full,n_samples,n_bubbles,interior_share,period,period_ci_lo,period_ci_hi,period_null_med,period_null_p95,period_clears_noise,area,area_ci_lo,area_ci_hi,area_null_med,area_null_p95,area_clears_noise,perimeter,perimeter_ci_lo,perimeter_ci_hi,perimeter_null_med,perimeter_null_p95,perimeter_clears_noise,foam,drop20_rel_range,horizon_rel_range
all periods,0.3667033370003672,10964,156,0.5449653411163808,0.408143645617321,0.24959404460583587,0.6669873833106049,0.06804770705497035,0.1525965643166544,True,0.13609852019730895,0.04597476208867957,0.2518388455725084,0.046148626272510075,0.12161971288997261,True,0.1815030828195241,0.07177507087618744,0.27247594260159125,0.0007162241629060531,0.060870971575078925,True,A,0.0907409677549617,0.0229186368493095
post-transition (middle + final),0.43320337232163664,5626,114,0.45680767863490934,0.057234808999178294,0.0001162211326799193,0.2849457179518981,0.05488361305192533,0.15412858332611426,False,0.07710254017413454,0.0265810189876461,0.22040856390440686,0.10688612056346003,0.17835528585157237,False,0.2314463261993951,0.1430647487586495,0.39532414415055417,0.038429495190296856,0.10267435707386532,True,A,0.0907409677549617,0.0229186368493095
all periods,0.177632717024435,29032,466,0.7553733810967208,0.3752561932381889,0.2421050967569709,0.5449154852418283,0.061734406484701056,0.09377450328164201,True,0.500774717209315,0.37388376400741297,0.6001066773343856,0.09421273964568225,0.21915210052578565,True,0.12582489378990627,0.08334822039978354,0.19992000533297982,0.031550589022390385,0.06170312992235879,True,C,0.0936726288525904,0.0881505089620448
post-transition (middle + final),0.16664444740701292,16335,313,0.7272115090296909,0.3816187837759772,0.19979269828168514,0.40044128220392344,0.00019993335555103546,0.06624147633921895,True,0.19996000666554756,0.10062339463388323,0.3006897364480926,0.08039266805615075,0.20019367083487316,False,0.09999999999999992,0.0004666807509278163,0.1993601066488891,0.00013333333333012025,0.04988764700667532,True,C,0.0936726288525904,0.0881505089620448
all periods,0.5995004163197336,5972,56,0.6336235766912257,3.2243700124053296,2.320520135364193,5.044007436540859,0.24146928184260463,0.5759483285498956,True,0.5712760735059829,0.15922657417689015,1.3739631140781854,0.13348736553425544,0.3064584524233996,True,0.028137429217999915,0.0005998795519997744,0.6966061308550365,0.09365810418950199,0.3142077488520479,False,F,0.4077146332887961,0.3722183933432632
post-transition (middle + final),1.5672674529591628,2848,34,0.6088483146067416,0.04206324111463096,0.00601329864685853,0.5263802396603324,0.12061810252962302,0.344977047059283,False,0.0887069381886551,0.01696058728634619,0.3902792843660933,0.26402006508449194,0.42569950356729364,False,0.2538766388825549,0.03629894943592429,0.6717300222188636,0.10572850506586347,0.3190512957076966,False,F,0.4077146332887961,0.3722183933432632
