foam,horizon_s,n,first_third_share
A,30,10964,0.486866107260124
A,150,10300,0.49776699029126215
A,600,7999,0.5595699462432804
C,30,29032,0.43734499862221
C,150,26868,0.44517641804376956
C,600,19968,0.4902844551282051
F,30,5972,0.5231078365706631
F,150,5221,0.5395518099980846
F,600,3107,0.6350177019633086
