measure,mean,ci_lo,ci_hi,min,max
gt_kept_from_preseed,0.8650602682173026,0.8243411980981378,0.8955333565780978,0.6721311475409836,0.9365079365079365
gt_interior_kept_from_preseed,0.8661643816559943,0.8286139318627909,0.902746019331253,0.7011494252873564,0.9714285714285714
gt_rim_kept_from_preseed,0.852680636271718,0.7844310678887121,0.9093204627755488,0.5945945945945946,1.0
preseed_identical_to_ws_propagated,0.9479228288420377,0.9257789408667372,0.9665736113087122,0.859504132231405,0.98
gt_identical_to_ws_propagated,0.8656607783431287,0.8367380053859582,0.8933196950215662,0.7213114754098361,0.9230769230769231
