foam,exposure,k_first,k_last,E_first,E_last,ratio_first_over_last,p_exact
A,time,17,3,1980.3310000000001,2040.2480000000003,5.838117634543587,0.0012938393643093476
A,bubble,17,3,175951.97900000002,74018.56899999999,2.3838240413690746,0.21988725196550563
A,edge,17,3,456383.15900000004,173029.78699999995,2.148418728863159,0.3157693712985561
C,time,67,18,960.261,1020.106,3.9541970591560234,1.2041072277301362e-08
C,bubble,67,18,417031.481,247855.49199999997,2.2122387931241625,0.0022457333409192995
C,edge,67,18,1065991.316,654607.2470000001,2.2857537439930806,0.0011031680894624443
F,time,1,2,730.0540000000001,779.9959999999999,0.5342043191325572,1.0
F,bubble,1,2,43683.002,21279.949,0.24357241977096722,0.2516091286037892
F,edge,1,2,85076.305,42239.74199999999,0.24824621849761808,0.2571782808264934
