scope,detector,K,n,n_bubbles_per_frame,ci_lo_bubble,ci_hi_bubble,ci_lo_pairblock,ci_hi_pairblock,mean_n_sides,median_area,frac_growing
full,GT,0.366410179540988,425,60.714285714285715,0.33232527998404837,0.4167361111111111,0.3053990223874729,0.46651155345338235,5.315294117647059,2850.0,0.3458823529411765
full,CP,0.33340001333600056,416,59.42857142857143,0.2999000333222259,0.3997220273033135,0.30006001200240046,0.399720195862896,5.264423076923077,3133.0,0.4182692307692308
matched,GT,0.3708075281611915,409,58.42857142857143,0.3333658398346336,0.42987175895306773,0.3275424309805702,0.47231668555933415,5.408312958435208,2951.0,0.34963325183374083
matched,CP,0.33340001333600056,411,58.714285714285715,0.3000300030003,0.39986671109630123,0.30006001200240046,0.39979528492001615,5.2773722627737225,3171.0,0.41849148418491483
