frame,run,n_objects,foam_pct,detector,foam
185,run1,28,18.9,cellpose,A
186,run1,28,18.9,cellpose,A
187,run1,28,18.9,cellpose,A
188,run1,28,18.9,cellpose,A
189,run1,28,18.9,cellpose,A
190,run1,28,19.0,cellpose,A
191,run1,28,18.9,cellpose,A
192,run1,28,18.9,cellpose,A
193,run1,28,19.0,cellpose,A
194,run1,28,18.9,cellpose,A
195,run1,28,19.0,cellpose,A
196,run1,28,19.0,cellpose,A
197,run1,28,19.0,cellpose,A
