foam,n_bubbles,K_full,drop20_median,drop20_p2_5,drop20_p97_5,drop20_range,drop20_rel_range,drop20_frac_negative,area_sweep_min,area_sweep_max,area_sweep_rel_range,exclusions_min,exclusions_max,exclusions_rel_range,horizon_min,horizon_max,horizon_rel_range,period_min,period_max,period_rel_range,any_sign_flip,sign_flip_axis
A,156,0.3667033370003672,0.3667033370003672,0.3500838749143191,0.3833588905927063,0.0332750156783872,0.09074096775496177,0.0,0.3667033370003672,0.4166111185175323,0.13609852019730895,0.31661389803539597,0.5000250013889717,0.5001620788452001,0.3582989963882258,0.3667033370003672,0.022918636849309573,0.3000700163371448,0.44973765316051173,0.408143645617321,False,none
C,466,0.177632717024435,0.1750846546610933,0.16666666666666666,0.18330599024057379,0.016639323573907128,0.09367262885259046,0.0,0.177632717024435,0.2665866906594687,0.500774717209315,0.16667222240741472,0.26664000266640064,0.5627779720626265,0.177632717024435,0.19329113143844984,0.08815050896204484,0.1333422228148541,0.2,0.3752561932381889,False,none
F,56,0.5995004163197336,0.5998000846228697,0.4887988685660089,0.7332239609622897,0.2444250923962808,0.40771463328879615,0.0,0.5995004163197336,0.9419806602200731,0.5712760735059829,0.40016673625130905,1.1914281046470503,1.3198679214490072,0.37635533454858494,0.5995004163197336,0.37221839334326323,-0.29995000833194474,1.633061156473915,3.2243700124053296,True,period
