measure,source,mean,ci_lo,ci_hi,diff_vs_GT,diff_ci_lo,diff_ci_hi
mean_n_all,GT,5.081483334143448,4.986210834299587,5.179507089716553,,,
mean_n_all,Cellpose,5.114435327780697,5.019705585604743,5.212774875854461,0.032951993637248,0.0157469728962666,0.0523847917195515
mean_n_all,watershed,5.680562110383484,5.639429398395547,5.711842888049303,0.599078776240035,0.5151235437249463,0.6855730387215571
mean_n_all,watershed (per-frame),5.520738987649085,5.448226678727801,5.592654198243266,0.439255653505637,0.3846389097131667,0.4942489809228442
mean_n_interior_mask,GT,5.661152969129965,5.610348596595875,5.713611084485852,,,
mean_n_interior_mask,Cellpose,5.760602277274812,5.713126252832169,5.808153573064835,,,
mean_n_interior_mask,watershed,5.6905272160698885,5.637955293851609,5.7459250650351175,,,
mean_n_interior_mask,watershed (per-frame),5.682538595284148,5.613626209034317,5.755712613116287,,,
mean_n_interior_raft,GT,5.787257479908285,5.729418937246406,5.842292628855347,,,
mean_n_interior_raft,Cellpose,5.837740262141005,5.812000737453451,5.864181947789627,0.0504827822327205,0.0170118553886166,0.0983327340573483
mean_n_interior_raft,watershed,5.708679302980795,5.671811800061422,5.748838946289903,-0.0785781769274899,-0.1383874179498539,-0.0233005862445573
mean_n_interior_raft,watershed (per-frame),5.759990796731237,5.718295692101293,5.799587737275726,-0.0272666831770478,-0.0946229972835333,0.0507705209016834
mean_n_edge_raft,GT,4.0517236987832,3.9916839944766727,4.109024164215104,,,
mean_n_edge_raft,Cellpose,4.040276463732346,3.985265151515152,4.094511646441794,-0.0114472350508538,-0.0407489907617652,0.0200684348110819
mean_n_edge_raft,watershed,5.675492340974268,5.60090440024902,5.750487025490307,1.6237686421910666,1.5386034404691469,1.7014345041307974
mean_n_edge_raft,watershed (per-frame),5.312546590613991,5.222033948888576,5.4099372914791415,1.260822891830792,1.1807099620926833,1.339425497258556
unassigned_mask_pct,GT,25.308350382804544,24.62247853530078,25.906745307847466,,,
unassigned_mask_pct,Cellpose,20.8552855932113,19.811829833985865,21.87071284922436,,,
unassigned_mask_pct,watershed,10.925395092934124,9.687821807525182,12.171058787590164,,,
unassigned_mask_pct,watershed (per-frame),0.0086277813096671,0.0062406057634634,0.0112136412897468,,,
unassigned_raftcore_pct,GT,11.3956645447353,10.226653478024035,12.525723941556976,,,
unassigned_raftcore_pct,Cellpose,7.154911495878922,6.318273687149095,8.255135000522792,-4.240753048856378,-5.260436204905521,-3.1665511774160597
unassigned_raftcore_pct,watershed,11.035863824003686,9.865630475419168,12.219678396552466,-0.3598007207316128,-0.6856469528007698,-0.0925200525260521
unassigned_raftcore_pct,watershed (per-frame),0.0081979918437745,0.0057214059778849,0.0109897701381958,-11.387466552891526,-12.529488997614434,-10.170447327668196
