tercile,detector,K,n,ci_lo,ci_hi,mean_n_sides,median_area
small,GT,0.3,142,0.2665778073975341,0.35543707653004547,3.859154929577465,642.0
small,CP,0.3193379984449628,117,0.2667200106688004,0.3805244160653855,3.8547008547008548,788.0
medium,GT,0.39986671109630123,141,0.33232527998404837,0.466340228506712,5.177304964539007,2850.0
medium,CP,0.266480130575264,152,0.14995001666111296,0.33367325469981235,4.993421052631579,2959.5
large,GT,0.42446577991132445,142,0.358082675460511,0.5165057582630577,6.908450704225352,6380.0
large,CP,0.537463096306921,147,0.39986671109630123,0.666800026672001,6.666666666666667,6406.0
