n_obj,mean_n_all,mean_n_interior_mask,mean_n_interior_raft,mean_n_edge_raft,n_interior_mask,n_interior_raft,unassigned_mask_pct,unassigned_raftcore_pct,frame,source,mask_outside_gt_hull_pct
50,4.92,5.814814814814815,5.923076923076923,3.8333333333333335,27,26,21.709081314825536,5.510995719164851,121,Cellpose,15.976507755935595
49,5.714285714285714,5.769230769230769,5.84,5.583333333333333,26,25,9.251270383530759,9.47089701783939,121,watershed,15.976507755935595
69,5.304347826086956,5.53125,5.633333333333334,5.051282051282051,32,30,0.008908960701203738,0.012363422813605945,121,watershed (per-frame),15.976507755935595
46,4.739130434782608,5.666666666666667,5.523809523809524,4.08,24,21,26.484041343408048,7.945014487070562,148,GT,15.399805774069755
42,4.809523809523809,5.904761904761905,5.833333333333333,4.041666666666667,21,18,24.45694357700625,7.0768795067860495,148,Cellpose,15.399805774069755
45,5.466666666666667,5.947368421052632,5.6875,5.344827586206897,19,16,6.585269876569061,7.074700999934645,148,watershed,15.399805774069755
60,5.333333333333333,5.826086956521739,5.833333333333333,5.119047619047619,23,18,0.005415221103477655,0.0038123869899570834,148,watershed (per-frame),15.399805774069755
43,4.837209302325581,5.818181818181818,5.7368421052631575,4.125,22,19,26.775053247077285,6.6624343510128705,149,GT,18.371236091574126
42,4.809523809523809,5.904761904761905,5.833333333333333,4.041666666666667,21,18,24.49257072188211,5.610319155075893,149,Cellpose,18.371236091574126
42,5.571428571428571,5.842105263157895,5.625,5.538461538461538,19,16,6.660495188778517,6.970623881802966,149,watershed,18.371236091574126
63,5.26984126984127,6.0,5.7368421052631575,5.068181818181818,22,19,0.005424150487631129,0.006925607433485312,149,watershed (per-frame),18.371236091574126
