iou,tp,fp,fn,precision,recall,f1
0.5,1007,11,59,0.9891944990176817,0.9446529080675422,0.9664107485604607
0.75,894,124,172,0.8781925343811395,0.8386491557223265,0.8579654510556621
0.9,562,456,504,0.5520628683693517,0.5272045028142589,0.5393474088291745
