foam,horizon_seconds,horizon_frames,frame_interval_s,n,n_bubbles,K,ci_lo,ci_hi,K_theilsen,K_ls,n0_free,median_abs_dadt,K_normalised
A,30,1,30.0,10964,156,0.3667033370003672,0.3334000133360005,0.39994667377682985,0.3887282094833609,0.3834649924297348,5.55814867898172,0.7330401172864187,0.500250025002501
A,150,5,30.0,10300,156,0.36433757370829317,0.33336630883347457,0.39331792839179025,0.3866267188514907,0.38676098458230207,5.624248108179778,0.56,0.6506028101933806
A,600,20,30.0,7999,137,0.3582989963882258,0.3273105013680998,0.3982991185111208,0.37161358198441374,0.3978012072284992,5.808968026594011,0.5315204985295711,0.6741019346938544
C,30,1,30.0,29032,466,0.177632717024435,0.16663889351774708,0.18880078185735613,0.20829889525793532,0.2183514043084027,4.86011292242577,0.4667911443051522,0.3805400320712005
C,150,5,30.0,26868,450,0.17998800079994667,0.16992992427911033,0.19330388672383542,0.19997520007999098,0.21878081543636327,4.973674708161119,0.3266122312947845,0.5510755065308566
C,600,20,30.0,19968,356,0.19329113143844984,0.17995920924590428,0.20579368292336284,0.19539595302581203,0.21975587266086385,5.386416555793842,0.28163920684419497,0.6863076117998728
F,30,3,10.0,5972,56,0.5995004163197336,0.40005303567896844,0.8672384091298478,0.911569763957726,0.20903389182330723,3.296490941979662,4.232839512637727,0.1416307928826128
F,150,15,10.0,5221,49,0.4899969125242688,0.2366753448651953,0.8044712601531168,0.8648682343249359,0.0934895596033414,3.017046621062074,2.9398432083622223,0.1666745053377335
F,600,60,10.0,3107,34,0.37635533454858494,0.10503419623681076,0.8032919260914584,0.4666419304075297,-0.2665874816512577,-0.23820763101111542,2.4415405204064458,0.15414666740240407
