foam,estimator,median,ci_lo,ci_hi,n_bubbles,median_r_eq
A,pixel_count,0.9062257910855306,0.9051200387463443,0.9078120527003279,1632,27.757323457707933
A,crofton,0.9780808124601736,0.9770027204937283,0.9789721533131958,1632,27.757323457707933
C,pixel_count,0.9282639034261019,0.9228568559160137,0.9352239676476582,6586,17.177696716742147
C,crofton,0.9840470676131389,0.9817038532819148,0.9863898806026027,6586,17.177696716742147
F,pixel_count,0.8970964227707887,0.8884832805757453,0.9054356607849239,844,32.98941357105464
F,crofton,0.975212118229277,0.9694272066760412,0.9798728515557875,844,32.98941357105464
