frame,src,f1@0.5,f1@0.75,f1@0.9
0,cellpose,0.9752066115702479,0.8760330578512397,0.6115702479338843
0,expanded,0.7933884297520662,0.5702479338842975,0.24793388429752067
1,cellpose,0.9666666666666667,0.8416666666666667,0.5916666666666666
1,expanded,0.8333333333333333,0.5666666666666667,0.21666666666666665
24,cellpose,0.9479166666666667,0.8020833333333334,0.4375
24,expanded,0.8020833333333334,0.5416666666666666,0.16666666666666669
25,cellpose,0.9578947368421052,0.8105263157894738,0.45263157894736844
25,expanded,0.8421052631578948,0.568421052631579,0.16842105263157894
49,cellpose,0.925,0.825,0.4375
49,expanded,0.8500000000000001,0.5500000000000002,0.175
50,cellpose,0.935897435897436,0.8461538461538461,0.41025641025641024
50,expanded,0.8717948717948718,0.6025641025641025,0.12820512820512822
73,cellpose,0.9928057553956835,0.8489208633093526,0.5179856115107913
73,expanded,0.8633093525179856,0.6474820143884892,0.18705035971223025
74,cellpose,0.9928057553956835,0.8489208633093526,0.4892086330935252
74,expanded,0.8633093525179856,0.6043165467625898,0.2014388489208633
97,cellpose,0.9838709677419354,0.8870967741935485,0.5161290322580645
97,expanded,0.8870967741935485,0.6612903225806451,0.1935483870967742
98,cellpose,0.9677419354838709,0.8709677419354839,0.5161290322580645
98,expanded,0.8709677419354839,0.6451612903225806,0.1774193548387097
120,cellpose,0.9902912621359222,0.9126213592233009,0.6407766990291263
120,expanded,0.8932038834951457,0.6407766990291263,0.2524271844660194
121,cellpose,0.9803921568627451,0.9019607843137256,0.6274509803921569
121,expanded,0.8823529411764707,0.6274509803921569,0.29411764705882354
148,cellpose,0.9545454545454545,0.909090909090909,0.75
148,expanded,0.8636363636363636,0.6590909090909092,0.34090909090909094
149,cellpose,0.988235294117647,0.9647058823529412,0.7764705882352941
149,expanded,0.9176470588235294,0.6823529411764705,0.35294117647058826
