shape,R,r_eq,pixel_count,crofton,true
circle,6,5.950694036424678,1.0635887181410952,1.0181903544075612,1.0
circle,8,8.012939626020783,1.0171231657004436,1.0135108897618232,1.0
circle,10,9.985226930492349,0.9738663760769171,0.9931537752460134,1.0
circle,12,11.924721843798936,0.9856128975041609,1.0187596232085985,1.0
circle,15,14.998680647216093,0.9527767457363552,1.0005490057580277,1.0
circle,18,17.96341594971128,0.9490161091425822,1.0061249807975297,1.0
circle,20,19.988886552997336,0.9403384634143187,1.0019549555804068,1.0
circle,25,24.988752744154983,0.933691041338996,1.0035579367968097,1.0
circle,30,29.972460774181407,0.928319447017089,1.0035686240504873,1.0
circle,35,34.987710989316945,0.9261716974048234,1.0053824858468392,1.0
circle,40,39.98487782552289,0.9196164748608804,1.0014013958733479,1.0
circle,50,49.986507596975265,0.9173101392540727,1.003194903733995,1.0
circle,60,59.976154127341076,0.9154171577476421,1.0039975423181455,1.0
circle,80,79.9891623736701,0.907746549854621,0.9991912832938477,1.0
hexagon,6,5.469214023201099,0.9914492413563618,0.9419961655220466,0.9068996821171089
hexagon,8,7.285090260333041,0.9294753935773279,0.9210831506751908,0.9068996821171089
hexagon,10,9.049024885812644,0.9028320705892643,0.9158335740465027,0.9068996821171089
hexagon,12,10.925440564520507,0.8916538848456481,0.9191089317250248,0.9068996821171089
hexagon,15,13.604849700932903,0.8596857906003823,0.8964949884368537,0.9068996821171089
hexagon,18,16.36392471204973,0.8699234239493694,0.920035265579774,0.9068996821171089
hexagon,20,18.207658044476297,0.8607950715396074,0.9152265392524054,0.9068996821171089
hexagon,25,22.722196591870624,0.8515631888340418,0.9137103021538305,0.9068996821171089
hexagon,30,27.239230387629178,0.8487497189373929,0.916185552531109,0.9068996821171089
hexagon,35,31.842979406037767,0.8370550326456674,0.9076545014277666,0.9068996821171089
hexagon,40,36.36287584929068,0.8363632094085212,0.9097984752735422,0.9068996821171089
hexagon,50,45.48553315278457,0.8319176948597667,0.9084881867335485,0.9068996821171089
hexagon,60,54.526040182121044,0.8312898652763571,0.9111032714709759,0.9068996821171089
hexagon,80,72.77115426950135,0.8280037108748857,0.9109313410113988,0.9068996821171089
