session,foam,n_frames,counts_first,counts_last,frame0_population,n_tracks,n_births_minted,birth_frac_of_frame0,n_events_birth,n_events_T2,n_events_merge,n_events_T1,deaths_per_birth,median_lifetime_of_dying,median_lifetime_of_born,frac_dying_shortlived,events_per_frame,T1_per_frame,net_count_change,frac_deaths_low_conf
exp1_run0,A,99,118,61,118,140,22,0.1864406779661017,22,72,23,0,4.318181818181818,15.0,4.0,0.25316455696202533,1.1818181818181819,0.0,57,0.21052631578947367
exp1_run1,A,99,60,28,60,72,12,0.2,12,41,2,1,3.5833333333333335,23.0,2.0,0.25,0.5656565656565656,0.010101010101010102,32,0.32558139534883723
exp3_cellpose,C,99,555,221,555,1187,632,1.1387387387387387,632,918,68,1,1.5601265822784811,2.0,1.0,0.5848861283643892,16.353535353535353,0.010101010101010102,334,0.9533468559837728
exp10_w,F,226,62,20,62,333,271,4.370967741935484,271,305,8,0,1.154981549815498,2.0,2.0,0.5846645367412141,2.584070796460177,0.0,42,0.9968051118210862
